"date","open","high","low","close","volume","turnover","return"
"2016/9/6",2183.227,2225.255,2161.926,2222.837,129937.75,2927839.6,0.01822441428709
"2016/9/7",2223.019,2232.121,2208.833,2212.053,120957.09,2688471.59,-0.00486326436717111
"2016/9/8",2211.393,2223.468,2207.115,2223.468,95261.96,2157437.54,0.00514709555024861
"2016/9/9",2223.584,2228.537,2202.968,2202.968,108522.76,2408388.23,-0.00926259707243116
"2016/9/12",2163.451,2179.982,2145.031,2145.563,124293.63,2758956.63,-0.0264035532648625
"2016/9/13",2157.945,2165.577,2139.34,2145.868,84412.38,2007306.82,0.000142143728054656
"2016/9/14",2137.396,2156.976,2131.715,2144.558,81183.38,1954466.28,-0.00061066199053883
"2016/9/19",2149.372,2174.403,2149.372,2165.213,71227.04,1757054,0.00958526944643534
"2016/9/20",2164.42,2167.641,2153.94,2158.432,62263.83,1465071.6,-0.00313670782861131
"2016/9/21",2158.062,2170.086,2157.381,2162.132,68339.86,1585630.06,0.00171273977401487
"2016/9/22",2174.299,2178.532,2166.615,2168.423,74258.31,1757437.95,0.00290540331453482
"2016/9/23",2171.63,2173.494,2156.036,2156.51,71390.97,1622118.25,-0.00550900100836049
"2016/9/26",2154.399,2161.764,2122.9,2122.9,86705.68,1878882.77,-0.0157080957827098
"2016/9/27",2118.949,2140.803,2112.702,2140.803,72775.14,1612362.04,0.00839791384026256
"2016/9/28",2143.725,2143.725,2132.547,2139.629,65092.92,1449612.69,-0.00054854277766303
"2016/9/29",2141.336,2155.416,2140.979,2146.184,62850.22,1448429.36,0.00305893192787288
"2016/9/30",2144.473,2154.4,2143.343,2149.901,56403.91,1257158.37,0.00173041312147859
"2016/10/10",2165.853,2208.469,2163.406,2208.469,109377.95,2472332.06,0.0268777207116813
"2016/10/11",2207.435,2210.862,2201.311,2210.862,88034.88,2033205.41,0.0010829694512049
"2016/10/12",2202.363,2216.522,2198.89,2209.685,97284.06,2017128.58,-0.000532513296573889
"2016/10/13",2211.756,2216.092,2200.524,2208.567,91138.46,2005509.57,-0.000506082506774419
"2016/10/14",2203.874,2203.874,2178.914,2194.227,90805.39,2117473.41,-0.00651406843359226
"2016/10/17",2199.182,2200.472,2160.006,2167.863,95327.75,2183854.07,-0.0120879307949258
"2016/10/18",2164.601,2198.142,2164.601,2198.142,96289.63,2192861.94,0.0138705683815017
"2016/10/19",2200.532,2201.162,2180.469,2184.911,96220.45,2047386.38,-0.00603736262776611
"2016/10/20",2187.406,2199.065,2184.351,2193.256,96445.04,2068339.89,0.00381210223633754
"2016/10/21",2196.846,2202.488,2167.83,2180.997,114469.8,2436276.3,-0.00560508598613563
"2016/10/24",2184.11,2204.358,2176.924,2200.804,111167.45,2378616.3,0.00904063644474995
"2016/10/25",2202.793,2207.807,2196.568,2200.208,95609.8,2114795.61,-0.000270846797802093
"2016/10/26",2203.479,2204.842,2179.756,2184.493,113896.06,2419869.98,-0.00716813634005486
"2016/10/27",2182.905,2184.317,2171.243,2182.478,93413.53,1897128.4,-0.000922836512081915
"2016/10/28",2182.56,2192.903,2165.03,2165.433,104511.83,2163038.7,-0.00784058704041968
"2016/10/31",2158.565,2162.672,2145.574,2159.76,90050.6,1870689.36,-0.00262323704545331
"2016/11/1",2160.39,2177.834,2159.707,2176.447,87647.76,1873930.76,0.00769662627977485
"2016/11/2",2170.811,2171.662,2145.074,2146.399,111093.91,2404744.23,-0.0139021764586564
"2016/11/3",2137.131,2167.931,2135.284,2153.185,113585.74,2453283.21,0.00315658707198896
"2016/11/4",2151.925,2168.341,2142.41,2145.229,105579.4,2235021.46,-0.00370183471646612
"2016/11/7",2141.299,2145.822,2126.952,2130.301,92911.82,2064755.79,-0.00698302229694381
